,State,Participation_act,English,Math_act,Reading,Science,Composite,Participation_sat,Evidence-Based Reading and Writing,Math_sat,Total
1,Alaska,0.65,0.5194444444444444,0.55,0.5666666666666667,0.5527777777777777,0.55,0.38,0.68375,0.66625,0.675
2,Arizona,0.62,0.5166666666666667,0.55,0.5583333333333333,0.55,0.5472222222222222,0.3,0.70375,0.69125,0.6975
15,Iowa,0.67,0.5888888888888889,0.5916666666666667,0.6277777777777778,0.6138888888888889,0.6083333333333333,0.02,0.80125,0.79375,0.796875
16,Kansas,0.73,0.5861111111111111,0.5916666666666667,0.6194444444444445,0.6027777777777777,0.6027777777777777,0.04,0.79,0.785,0.7875
27,Nebraska,0.84,0.5805555555555555,0.5805555555555555,0.6083333333333333,0.5972222222222222,0.5944444444444444,0.03,0.78625,0.78125,0.783125
31,New Mexico,0.66,0.5166666666666667,0.5388888888888889,0.5666666666666667,0.5555555555555556,0.5472222222222222,0.11,0.72125,0.70125,0.71125
35,Ohio,0.75,0.5888888888888889,0.6000000000000001,0.625,0.6111111111111112,0.6111111111111112,0.12,0.7225,0.7125,0.718125
41,South Dakota,0.8,0.575,0.5972222222222222,0.6194444444444445,0.6111111111111112,0.6055555555555556,0.03,0.765,0.75375,0.76
48,West Virginia,0.69,0.5555555555555556,0.5388888888888889,0.5888888888888889,0.5694444444444444,0.5666666666666667,0.14,0.6975,0.66,0.67875
